Case,Note Tokens,Wide Tokens,RAG Tokens,CLEAR Tokens,Wide Accuracy,RAG Accuracy,CLEAR Accuracy,Best Strategy
clinical_note1,66416,66583,757,2975,0.6488106364006445,0.5859555477514289,0.6576992884381461,CLEAR
clinical_note2,66921,67134,897,3112,0.6638382165293205,0.6949833181391533,0.7154824578022408,CLEAR
clinical_note3,27655,27849,579,3135,0.6782789530759494,0.7134673058424579,0.7144015393375753,CLEAR
clinical_note4,25510,25729,388,3153,0.6702616189431426,0.6375179289477523,0.6606125600910842,Wide
clinical_note5,25494,25727,502,3116,0.6658096796918667,0.6897980800266643,0.6303632223160265,RAG
clinical_note6,25192,25424,362,3146,0.656902002875377,0.5945839533393237,0.6307188597801928,Wide
clinical_note7,40191,40423,724,3149,0.6893916370808022,0.6233542721321281,0.6264077279941433,Wide
clinical_note8,40382,40590,704,3166,0.5910018346404606,0.6240475443853578,0.6082510863345991,RAG
clinical_note9,40144,40362,537,3124,0.6555583072878125,0.693307582129919,0.5993923589108405,RAG
clinical_note10,65920,66138,426,3146,0.6732410942340002,0.652382739022865,0.6411208311537968,Wide
clinical_note11,65863,66079,766,3139,0.6532546119968579,0.7001050978849435,0.5748197343304106,RAG
clinical_note12,65851,66060,509,3140,0.681480296096893,0.657627351003071,0.6582874103645658,Wide
clinical_note13,51875,52079,343,3140,0.567536909917828,0.5721619114044152,0.5977495307088164,CLEAR
clinical_note14,65868,66071,432,3098,0.6633349806370685,0.6491784466431183,0.6684383177387353,CLEAR
clinical_note15,10221,10433,394,3159,0.7111420832990728,0.665423513442039,0.5999756349477201,Wide
clinical_note16,10072,10255,425,3148,0.7021584028823173,0.6565178681638052,0.6503795705352534,Wide
